MBK |285
MAYBANK KIM ENG SECS. (THAILAND) |286
MC GROUP |287
MCOT |288
MCS STEEL |289
MDX |290
MEGA LIFESCIENCES |291
MURAMOTO ELECTRON |292
MFC ASSET MANAGEMENT |293
MFEC |294
MICRO LEASING |295
MIDA ASSETS |296
MILLCON STEEL |297
MINOR INTERNATIONAL |298
MILLIONAIRE PROPERTY |299
MFC INDL.REIT.TST. UTS. |300
MAJOR DEVELOPMENT |301
MJR.CPX.LFY.LH.PR. |302
MK REAL ESTATE DEV. |303
MIDA LEASING |304
NICHADA THANI PROPERTY 2 |305
MFC-NICHADA THANI PROPERTY |306
MULTI-NATIONAL RESIDENCE |307
MODERNFORM GROUP |308
MONO NEXT |309
M PICTURES ENTERTAINMENT |310
METRO SYSTEMS |311
MUANGTHAI CAPITAL ORS |312
MUANG THAI INSURANCE |313
NEW CITY (BANGKOK) |314
NEXT CAPITAL |315
NC HOUSING |316
NEP REALTY & IND. |317
NORTH EAST RUBBERS |318
WATTANA KARNPAET |319
NEX POINT |320
NFC |321
NAVAKIJ INSURANCE |322
NATION MULTIMEDIA GP. |323
NAVANAKORN |324
NOBLE DEVELOPMENT |325
NOVA EMPIRE |326
NR INSTANT PRODUCE |327
NAM SENG INSURANCE |328
NONTHAVEJ HOSPITAL |329
NUSASIRI |330
NIRVANA DAII ORS |331
NAWARAT PATANAKARN |332
NAMYONG TERMINAL |333
OCC |334
OCEAN GLASS |335
OHTL |336
OISHI GROUP |337
PTT OIL AND RETAIL BUSINESS |338
ORIGIN PROPERTY |339
OSOTSPA |340
PAN ASIA FOOTWEAR |341
PACIFIC PIPE |342
PATO CHEMICAL IND. |343
PRESIDENT BAKERY |344
PCS MACHINE GPHD. |345
PADAENG INDUSTRY |346
PRANDA JEWELRY |347
PERMSIN STEEL WORKS |348
PROPERTY PERFECT |349
PEOPLE'S GARMENT |350
PATKOL |351
PHATRA LEASING |352
PLAN B MEDIA |353
THE PLATINUM GROUP |354
POWER LINE ENGR. |355
PREMIER MARKETING |356
PM THORESEN ASIA HDG. |357
PRIME OFFICE LEASEHOLD PROPERTY |358
SAHATHAI TERMINAL |359
BANGKOK POST ORS |360
PINTHONG INDUSTRIAL PARK PROPERTY |361
PREMIER PRODUCTS |362
PP PRIME |363
PRARAM 9 HOSPITAL |364
PRAKIT HOLDINGS |365
PRE-BUILT |366
PREECHA GROUP |367
PATUM RICE MILL & GRNY. |368
PRIME ROAD POWER |369
PRINSIRI |370
PRINCIPAL CAPITAL |371
PRIMA MARINE |372
PROSPECT LOGISTICS AND INDUS LEASEHOLD REIT |373
PRUKSA HOLDING |374
PRECIOUS SHIPPING |375
PREMIER TECHNOLOGY |376
PTG ENERGY |377
POLYPLEX (THAILAND) |378
PTT |379
PTT EXPLORATION & PRDN. |380
PTT GLOBAL CHEMICAL |381
PYLON |382
QUALITY CON.PRDS. |383
QUALITY HOUSES |384
QLT.HSE.HLRS.FH &. LH PROP |385
QUALITY HOSPITALITY LEASEHOLD PROPERTY |386
QUALITY HOUSES LEASEHOLD PROPERTY FU |387
RAMKHAMHAENG HOSPITAL |388
RATCH GROUP PCL |389
R & B FOOD SUPPLY |390
ROYAL CERAMIC IND. |391
REGIONAL CONTAINERS LIN. |392
RICHY PLACE 2002 |393
RAJTHANEE HOSPITAL PUBLIC |394
RAIMON LAND |395
ROCKWORTH |396
ROYAL ORCHID HTL.(THAI.) |397
ROJANA INDUSTRIAL PARK |398
RPCG |399
RATCHAPHRUEK HOSPITAL |400
RS |401
RICH SPORT |402
RIGHT TUNNELLING |403
S & J INTL.ENTERPRISES |404
S11 GROUP |405
SINGHA ESTATE |406
SIAMESE ASSET |407
SABINA |408
SABUY TECHNOLOGY |409
SAKSIAM LEASING |410
SAMCHAI STEEL INDS. |411
SAMART |412
SAMMAKORN |413
SAMART TELCOMS |414
SAPPE |415
SOMBOON ADVANCE TECH. |416
THAITHEPAROS |417
SRISAWAD CORPORATION |418
SAWANG EXPORT |419
SAMUI BURI PROPERTY FUND |420
SC ASSET |421
SIAM COMMERCIAL BANK |422
SIAM CEMENT |423
SIAM CITY CEMENT |424
SAHACOGEN(CHONBURI) |425
SCG PACKAGING |426
SCI ELECTRIC |427
SUCCESSMORE BEING |428
SCAN INTER |429
SOUTHERN CONCRETE PILE |430
SAMART DIGITAL ORS |431
SE-EDUCATION |432
SEAFCO |433
SENA DEVELOPMENT |434
SIAM FUTURE DEVELOPMENT |435
STARFLEX |436
SIAM FOOD PRODUCTS |437
SIAMGAS AND PETROCHEM. |438
SHANGRI-LA HOTEL |439
S HOTELS AND RESORTS |440
STGC.HOSPLTY. EXTENDABLE FREE&LEASE |441
SIAM STEEL INTL. |442
SINGER THAILAND |443
SANSIRI |444
SIRI PRIME OFFICE PROPERTY |445
SIS DS.(THAILAND) |446
SISB |447
SRITHAI SUPERWARE |448
SAKOL ENERGY |449
S KIJCHAI ENTERPRISE |450
SIKARIN |451
SALEE PRINTING |452
SAHAMIT MACHINERY |453
SYN MUN KONG |454
SAHAMITR PRESSURE CTNR. |455
STARS MICROELECTRONICS |456
SNC FORMER |457
S & P SYNDICATE |458
SIAMRAJATHANEE |459
SOLARTRON |460
S KHONKAEN FOODS |461
S PACK & PRINT |462
SUPALAI |463
SAHA PATHANAPIBUL |464
SPCG |465
SAMUI AIRPORT PROPERTY (LEASEHOLD) |466
SIAM PAN GROUP |467
SAHA PATH.INTER-HOLDING |468
STAR PTL.REFN. |469
S PRIME GROWTH LEASEHOLD REIT |470
SAHAKOL EQUIPMENT |471
SRIRACHA CONSTRUCTION |472
SRI PANWA HOSPLTY. REIT. TST. |473
SERMSUK |474
SURAPON FOODS |475
SERMSANG POWER CORPORATION |476
SALA @ SATHORN PROPERTY |477
SIAM STEEL SERVICE CTR. |478
SUB SRI THAI |479
SUB SRI THAI REAL ESTATE INVESTMENT TRUST |480
SRI TRANG AGRO-INDUSTRY |481
THAI STANLEY ELECTRIC |482
STARK CORPORATION |483
SINO-THAI ENGR.CON. |484
SRI TRANG GLOVES (THAILAND) |485
STP & I |486
SAHA-UNION |487
SUPER ENERGY CORPORATION |488
SUPER ENERGY POWER PLANT INFRASTRUCTURE |489
SUSCO |490
GOLDEN LIME |491
SAMITIVEJ |492
SVI |493
SVOA |494
SYMPHONY COMMUNICATION |495
SYNNEX (THAILAND) |496
SYNTEC CONSTRUCTION |497
THAI AGRO ENERGY |498
TIPCO ASPHALT |499
TBSP |500
TROPICAL CANNING |501
THANACHART CAPITAL |502
THAI CAPITAL |503
THAI CENTRAL CHM. |504
TCJ ASIA |505
TCM CORPORATION ORS |506
THAI COATING INDL. |507
TEAM PRECISION |508
TEAM CNSL.ENGR.&. MAN. |509
THAILAND FUTURE |510
THAIFOODS GROUP |511
THAI FILM INDUSTRIES |512
THAI PRESIDENT FOODS |513
THAI GROUP HOLDINGS |514
THAI-GERMAN PRODUCTS |515
TONG HUA HOLDING |516
THAI AIRWAYS INTL. |517
RATCHTHANI LEASING |518
THAICOM |519
STEEL |520
THONBURI HEALTHCARE GROUP |521
THANTAWAN INDUSTRY |522
THAI REINSURANCE |523
THAIRE LIFE ASSURANCE |524
THAI INDUSTRIAL 1 |525
DHIPAYA INSURANCE |526
TIPCO FOODS |527
TISCO FINANCIAL GROUP |528
THITIKORN |529
TAOKAENOI FOOD & MKTG. |530
TKS TECHNOLOGIES |531
T KRUNGTHAI INDUSTRIES |532
THAILAND HOSPITALITY PROPERTY |533
TMB BANK |534
THAI METAL DRUM |535
TMT STEEL |536
TRINITY WATTHANA |537
THANULUX |538
THAI NAM PLASTICS |539
TRINITY FHLH.PR.FUND |540
THAI NIPPON RUBBER INDUSTRY |541
TOA PAINT THAILAND |542
THAI OPTICAL GROUP |543
THAI OIL |544
THAI OPP |545
THAI POLY ACRYLIC |546
TPBI |547
TEXTILE PRESTIGE |548
TPI POLENE |549
TPI POLENE POWER |550
THAI POLYCONS |551
THAI PACK.AND PRINT. |552
THAI.PRI.PR.FHLH. REIT |553
TQM CORPORATION |554
THAI RAYON |555
TRC CONSTRUCTION |556
TRITON HOLDING |557
THAI RUNG UNION CAR |558
THAI RUBBER LATEX GROUP |559
TRUE CORPORATION |560
THAI STEEL CABLE |561
THAI SOLAR ENERGY |562
THAI SETAKIJ IN. |563
THIENSURAT |564
THAI SUGAR TERMINAL |565
TATA STEEL (THAILAND) |566
THORESEN THAI AG. |567
TTCL |568
THAI TEXTILE |569
TALAAD THAI LEASEHOLD PROPERTY |570
TORAY TEXTILES |571
THAI TAP WATER SUPPLY |572
T U DOME RESD.CMX. LH. PR. |573
THAI UNION GROUP |574
THAIVIVAT INSURANCE |575
THAI VEGETABLE OIL |576
THAI WIRE PRODUCTS |577
THAI WAH |578
TWZ |579
TYCOONS WORLDWIDE GROUP |580
U CITY |581
UAC GLOBAL PUBLIC COMPANY LIMITED |582
UNION MOSAIC |583
UNIQUE ENGR.AND CON. |584
UOB KAY HIAN SECURITIES |585
UNION PLASTIC |586
UNION PIONEER FABRIC |587
UNITED PALM OIL IND. |588
URBANA PROPERTY (LEASE HOLD) |589
UNION TEXTILE INDUSTRIES |590
UNITED PAPER |591
UNIVENTURES |592
UNIVANICH PALM OIL |593
VAROPAKORN |594
VGI |595
VIBHAVADI MEDICAL |596
SRIVICHAI VEJVIVAT |597
VANACHAI GROUP |598
VINYTHAI |599
VICHITBHAN PALMOIL |600
VERANDA RESORT |601
WOW FACTOR |602
THAI WACOAL |603
WAVE ENTERTAINMENT |604
WELL GRADED ENGINEERING |605
WHA |606
WHA BUS.CMX.FH.&. LH. REIT |607
WHA PRUM.GW.FH.&. LH. REIT |608
WHA UTILITIES AND POWER |609
WICE LOGISTICS |610
WIIK |611
WYNCOAST INDUSTRIAL PARK |612
WORKPOINT ENTERTAINMENT |613
WP ENERGY |614
WATTANAPAT HOSPITAL TRANG |615
ZEN CORPORATION |616
SEAMICO CAPITAL |617
