ASIA AVIATION - TOT RETURN IND,ADVANCED INFO SER. - TOT RETURN IND,AIRPORTS OF THAILAND - TOT RETURN IND,ASIAN SEA CORPORATION - TOT RETURN IND,ASIA SERMKIJ LEASING - TOT RETURN IND,BGK.AVIATION FUEL SVS. - TOT RETURN IND,BANK OF AYUDHYA - TOT RETURN IND,BANGKOK BANK - TOT RETURN IND,BANGCHAK CORPORATION ORS - TOT RETURN IND,BANGKOK DUSIT MED.SVS. - TOT RETURN IND,BANGKOK EXPRESSWAY AND METRO - TOT RETURN IND,BANGKOK INSURANCE - TOT RETURN IND,BANGKOK LIFE ASSURANCE - TOT RETURN IND
87190C(RI),314926(RI),28530Q(RI),140261(RI),31572P(RI),15382P(RI),749549(RI),933079(RI),140346(RI),314898(RI),8836T4(RI),755194(RI),68032M(RI)
87.57,10186.72,158.12,172.24,268.57,257.11,446.42,1565.43,76.64,6266.15,,4453.29,310.04
84.32,9928.46,154.66,174.03,271.2,261.32,463.43,1601.84,75.95,6248.7,,4453.29,310.04
84.86,10043.25,153.27,174.03,268.57,259.21,459.17,1620.04,77.67,6301.06,,4453.29,310.04
88.65,10158.03,158.12,177.6,273.83,263.43,480.43,1674.65,80.07,6440.69,,4453.29,322.03
93.51,10100.64,158.82,178.49,273.83,261.32,493.19,1661,79.73,6440.69,,4471.85,322.03
90.81,10071.94,158.12,179.38,273.83,261.32,501.69,1665.55,80.42,6301.06,,4471.85,322.03
89.73,9928.46,158.82,180.27,273.83,261.32,493.19,1665.55,79.38,6283.6,,4453.29,316.89
92.43,9871.08,157.43,182.95,276.47,263.43,505.94,1701.95,81.45,6248.7,,4471.85,323.74
90.81,9957.16,158.12,182.06,276.47,265.54,493.19,1683.75,82.82,6266.15,,4490.4,323.74
91.89,10129.33,158.82,182.06,273.83,265.54,480.43,1701.95,82.82,6388.33,,4490.4,325.45
92.97,10158.03,160.9,180.27,273.83,267.64,497.44,1701.95,82.13,6493.06,,4490.4,327.16
91.89,10100.64,159.51,181.16,273.83,267.64,484.68,1661,80.42,6458.15,,4490.4,325.45
91.89,10129.33,160.9,181.16,276.47,265.54,484.68,1647.35,79.04,6580.33,,4490.4,322.03
91.35,9985.86,165.75,187.41,273.83,265.54,480.43,1656.45,78.7,6719.96,,4508.96,320.31
91.35,10129.33,165.75,182.95,273.83,265.54,484.68,1661,78.7,6737.42,,4546.07,320.31
92.97,10444.98,166.45,184.73,281.73,265.54,493.19,1688.3,78.7,6981.78,,4527.51,322.03
92.43,10674.54,166.45,183.84,292.26,269.75,497.44,1706.51,78.35,6964.33,,4527.51,316.89
91.89,10588.45,165.75,182.95,287,271.86,501.69,1742.91,77.32,6807.24,,4527.51,322.03
91.35,10818.01,166.45,182.06,287,273.97,514.45,1729.26,79.38,6946.87,,4546.07,318.6
91.35,11076.27,165.06,181.16,289.63,276.07,522.95,1733.81,80.42,6964.33,,4546.07,315.17
97.3,10932.79,172.69,180.27,287,269.75,522.95,1729.26,78.35,7051.6,,4546.07,311.75
100,11104.96,176.85,180.27,287,276.07,539.96,1756.56,77.67,7365.78,,4546.07,310.04
98.92,11305.82,177.54,179.38,287,276.07,531.45,1742.91,75.95,7610.14,,4564.63,311.75
98.38,11219.74,174.77,179.38,289.63,273.97,527.2,1701.95,73.54,7156.32,,4601.73,310.04
101.08,11822.34,178.24,179.38,289.63,278.18,539.96,1733.81,74.57,7121.42,,4583.18,316.89
99.46,11764.95,178.93,180.27,289.63,278.18,556.96,1756.56,74.92,7261.05,,4620.29,310.04
96.22,11478,178.93,178.49,297.53,280.29,552.71,1752.01,74.92,7016.69,,4583.18,308.32
98.38,11879.73,184.48,178.49,302.8,288.72,556.96,1783.87,76.29,7156.32,,4620.29,315.17
99.46,11937.12,184.48,177.6,308.06,288.72,548.46,1788.42,76.64,7191.23,,4620.29,310.04
99.46,11994.51,180.32,181.16,308.06,288.72,552.71,1815.72,76.98,7261.05,,4620.29,311.75
99.46,11592.78,180.32,181.16,305.43,284.5,544.21,1802.07,76.64,7051.6,,4620.29,318.6
98.92,11191.05,180.32,180.27,305.43,288.72,539.96,1756.56,76.64,7016.69,,4638.84,320.31
97.84,11305.82,176.85,182.06,308.06,282.4,539.96,1733.81,76.64,6981.78,,4620.29,327.16
95.68,11478,174.77,179.38,305.43,278.18,535.7,1711.06,75.26,6981.78,,4601.73,315.17
95.14,11707.55,178.93,179.38,302.8,276.07,544.21,1752.01,74.92,7121.42,,4564.63,316.89
93.51,11937.12,180.32,178.49,305.43,286.61,548.46,1765.66,74.57,6894.51,,4601.73,318.6
94.59,11535.39,184.48,178.49,302.8,278.18,531.45,1720.16,73.89,6911.96,,4620.29,313.46
95.14,11478,181.01,177.6,313.33,280.29,539.96,1733.81,73.89,6842.14,,4601.73,311.75
94.05,11707.55,183.78,176.7,318.59,280.29,552.71,1765.66,75.26,6894.51,,4620.29,315.17
92.43,11478,190.03,178.49,321.23,284.5,552.71,1783.87,76.29,6929.42,,4620.29,316.89
92.43,11535.39,190.03,178.49,326.49,286.61,552.71,1802.07,76.64,6981.78,,4601.73,315.17
92.43,11535.39,190.03,178.49,326.49,286.61,552.71,1802.07,76.64,6981.78,,4601.73,315.17
92.43,11879.73,189.33,178.49,329.13,286.61,552.71,1770.21,75.26,6981.78,,4620.29,316.89
95.14,11879.73,189.33,179.38,326.49,286.61,552.71,1788.42,76.98,6911.96,,4638.84,318.6
95.68,11707.55,189.33,182.95,321.23,297.15,544.21,1779.32,77.32,6894.51,,4620.29,313.46
95.68,11650.17,183.09,174.92,331.76,299.25,544.21,1783.87,78.7,6789.78,,4638.84,313.46
96.22,11822.34,181.7,174.03,326.49,292.93,552.71,1783.87,78.01,6754.88,,4620.29,306.61
93.51,11822.34,181.01,174.03,329.13,295.04,556.96,1792.97,78.7,6824.69,,4638.84,304.9
93.51,11822.34,181.01,174.03,329.13,295.04,556.96,1792.97,78.7,6824.69,,4638.84,304.9
96.22,11879.73,184.48,173.13,331.76,297.15,552.71,1847.58,78.7,6789.78,,4638.84,306.61
97.3,12051.89,181.7,171.35,326.49,299.25,552.71,1820.27,78.01,6929.42,,4638.84,306.61
97.3,11937.12,182.4,171.35,337.02,303.47,561.21,1820.27,78.35,6981.78,,4657.4,308.32
95.14,11937.12,181.7,170.46,342.29,299.25,561.21,1788.42,78.35,6981.78,,4731.62,315.17
96.22,12051.89,183.78,171.35,365.99,301.36,548.46,1792.97,78.01,7086.51,,4694.51,318.6
95.68,12160.94,182.4,171.35,371.25,300.73,548.46,1811.17,79.04,7086.51,,4713.07,315.17
95.14,12338.04,185.87,173.13,373.89,300.73,544.21,1788.42,79.04,7016.69,,4689.87,311.75
95.14,12810.31,182.4,173.13,363.35,300.73,531.45,1783.87,79.04,6981.78,,4689.87,310.04
93.51,13400.64,184.48,173.13,360.72,302.88,527.2,1774.77,78.35,7191.23,,4689.87,310.79
92.97,12633.21,183.09,174.03,358.09,305.03,531.45,1765.66,79.04,7295.96,,4839.95,309.06
92.43,12574.17,183.09,174.92,355.46,302.88,535.7,1770.21,79.73,7295.96,,4952.51,310.79
93.51,12279,187.95,172.24,352.82,300.73,531.45,1733.81,79.38,7156.32,,4952.51,309.06
92.97,12515.14,185.17,170.46,363.35,300.73,522.95,1706.51,79.04,7226.14,,4914.99,307.34
93.51,12810.31,186.56,174.03,368.62,298.58,539.96,1711.06,78.7,7226.14,,4933.75,307.34
93.51,12869.34,194.88,172.24,365.99,300.73,534,1761.11,78.7,7261.05,,4933.75,303.88
92.97,12692.24,190.03,173.13,368.62,298.58,534,1756.56,80.42,7470.51,,4839.95,305.61
92.43,12633.21,188.64,172.24,394.95,298.58,534,1761.11,79.73,7540.32,,4764.91,298.7
92.97,12810.31,191.41,171.35,416.01,298.58,546.92,1765.71,79.73,7749.78,,4783.67,298.7
94.59,12633.21,191.41,172.24,410.75,300.73,551.23,1779.51,80.59,7575.23,,4858.71,300.43
94.59,12692.24,192.8,172.24,416.01,302.88,551.23,1788.7,81.29,7400.69,,4858.71,300.43
95.14,12692.24,194.88,173.13,413.38,302.88,551.23,1765.71,81.29,7470.51,,4802.43,298.7
98.92,12810.31,205.28,174.92,421.28,302.88,585.68,1784.1,83.03,7505.41,,4858.71,298.7
97.84,12633.21,207.36,173.13,413.38,302.88,598.6,1770.31,81.98,7505.41,,4802.43,309.06
102.7,12633.21,205.28,173.13,416.01,305.03,594.29,1793.3,83.73,7400.69,,4839.95,309.06
101.08,12397.07,200.43,174.03,416.01,300.73,607.21,1797.9,84.42,7295.96,,4877.47,309.06
103.78,12397.07,201.82,174.03,413.38,305.03,615.83,1774.91,83.73,7365.78,,4877.47,309.06
107.57,12515.14,208.06,172.24,413.38,305.03,628.75,1774.91,84.42,7400.69,,4877.47,310.79
106.49,12574.17,208.75,170.46,426.55,309.32,624.44,1765.71,84.42,7470.51,,4896.23,310.79
111.89,12751.27,206.67,169.56,426.55,320.06,611.52,1784.1,85.82,7470.51,,4896.23,314.24
110.81,12633.21,210.83,169.56,423.91,339.4,602.91,1793.3,84.42,7400.69,,4914.99,307.34
114.05,12633.21,214.99,171.35,437.08,341.54,572.76,1770.31,83.73,7435.6,,4933.75,307.34
111.89,12515.14,213.61,170.46,426.55,343.69,529.7,1733.52,82.33,7400.69,,4952.51,302.16
115.68,12574.17,219.85,171.35,437.08,343.69,521.08,1765.71,83.38,7505.41,,4914.99,302.16
115.68,12633.21,220.54,169.56,434.45,358.73,538.31,1784.1,85.12,7505.41,,4933.75,303.88
117.84,12633.21,223.32,171.35,442.34,360.88,538.31,1797.9,84.77,7505.41,,4971.27,302.16
119.46,12515.14,229.56,171.35,437.08,386.65,542.62,1793.3,84.77,7540.32,,5008.79,298.7
118.92,12338.04,232.33,169.56,429.18,393.1,542.62,1779.51,84.77,7505.41,,4990.02,300.43
117.84,12160.94,236.49,171.35,434.45,386.65,542.62,1784.1,85.12,7505.41,,4971.27,300.43
117.3,12338.04,238.57,174.03,431.81,382.36,555.54,1793.3,88.09,7575.23,,4971.27,300.43
117.84,12160.94,241.35,172.24,429.18,373.76,542.62,1770.31,87.22,7784.69,,4933.75,302.16
118.38,12279,233.72,171.35,431.81,375.91,534,1765.71,86.52,7645.05,,4933.75,300.43
125.95,12101.9,233.03,172.24,423.91,375.91,534,1765.71,88.09,7295.96,,4952.51,300.43
131.89,12042.87,234.41,172.24,429.18,367.32,534,1784.1,91.58,7295.96,,4971.27,300.43
127.57,11924.8,233.03,171.35,429.18,371.62,534,1797.9,93.32,7330.87,,4952.51,298.7
127.03,11924.8,227.48,171.35,423.91,369.47,525.39,1784.1,89.83,7330.87,,4952.51,298.7
127.03,11511.57,230.25,171.35,426.55,365.17,529.7,1747.32,90.7,7540.32,,4971.27,296.98
126.49,12042.87,230.94,173.13,442.34,358.73,525.39,1738.12,93.32,7435.6,,4990.02,302.16
126.49,12633.21,237.88,172.24,450.24,369.47,521.08,1756.52,94.19,7540.32,,4971.27,298.7
125.95,12574.17,237.19,172.24,447.61,363.02,521.08,1733.52,95.94,7470.51,,4971.27,298.7
125.95,12515.14,238.57,174.03,452.88,360.88,521.08,1692.14,94.19,7610.14,,5008.79,296.98
125.95,12515.14,238.57,174.03,452.88,360.88,521.08,1692.14,94.19,7610.14,,5008.79,296.98
124.32,11983.84,237.88,174.92,442.34,365.17,503.86,1636.96,93.32,7540.32,,5027.54,295.25
123.78,11983.84,234.41,175.81,447.61,365.17,503.86,1618.57,92.45,7540.32,,5046.3,296.98
122.16,11688.67,230.25,173.13,431.81,358.73,499.55,1609.37,91.58,7470.51,,5027.54,291.8
121.08,11629.63,219.15,173.13,439.71,358.73,503.86,1627.77,91.58,7400.69,,5008.79,290.07
124.86,11806.73,228.17,173.13,452.88,358.73,512.47,1632.36,92.45,7505.41,,5008.79,291.8
